code,shape,area,score,percent,circles,num_lines,corners
2780,18,7415.0,77,19.25,2,0,39
2780,12,8439.5,68,17.0,0,0,34
2780,14,7019.5,66,16.5,3,0,39
2780,14,8599.5,68,17.0,0,0,37
2780,16,7835.0,100,25.0,4,1,39
2780,10,8525.0,111,27.75,0,7,34
2780,12,9360.0,98,24.5,2,0,45
2780,12,8628.5,117,29.25,1,9,38
2780,10,9478.0,65,16.25,0,0,40
2780,16,5419.5,80,20.0,4,0,33
2780,14,7413.0,58,14.5,2,0,43
2780,13,8256.5,63,15.75,0,0,33
2780,12,9531.0,161,40.25,1,2,47
2780,14,7667.0,134,33.5,1,2,33
2780,16,8472.5,102,25.5,2,1,42
2780,12,8338.5,92,23.0,0,0,37
2780,14,9488.0,117,29.25,2,5,41
2780,12,8083.0,116,29.0,3,4,41
2780,18,7150.0,70,17.5,5,0,42
2780,10,8318.5,106,26.5,0,2,35
2780,17,9464.5,156,39.0,1,2,40
2780,13,8633.5,137,34.25,0,4,42
2780,14,8734.5,84,21.0,0,0,48
2780,14,7918.0,82,20.5,3,0,37
2780,17,7808.0,75,18.75,3,0,38
2780,12,8029.0,68,17.0,2,0,44
2780,13,9086.0,113,28.25,2,1,38
2780,10,8380.0,124,31.0,0,6,38
2780,10,9553.0,91,22.75,0,0,41
2780,17,4683.0,83,20.75,3,0,27
2780,10,9408.5,63,15.75,0,0,38
2780,14,3350.0,58,14.5,3,0,22
2780,13,9514.5,79,19.75,0,0,36
2780,17,5849.0,79,19.75,3,0,37
2780,10,9502.5,50,12.5,0,0,43
2780,14,4620.0,74,18.5,4,0,25
2780,12,8849.5,112,28.0,4,10,34
2780,15,8582.0,97,24.25,1,0,39
2780,14,5320.5,45,11.25,2,0,32
2780,14,8871.5,69,17.25,4,0,38
2780,14,9430.0,65,16.25,3,0,40
2780,15,6424.0,78,19.5,3,0,33
2780,18,7521.0,89,22.25,3,0,41
2780,11,8721.0,94,23.5,1,0,41
2780,16,9529.5,147,36.75,1,4,39
2780,16,8557.0,122,30.5,0,1,42
2780,18,9209.5,144,36.0,3,3,39
2780,12,8766.0,123,30.75,0,2,41
2780,17,8008.5,107,26.75,3,2,35
2780,14,8798.0,83,20.75,0,0,46
2780,12,9416.5,118,29.5,1,5,38
2780,13,7829.0,105,26.25,4,1,33
2780,14,9040.5,70,17.5,1,0,30
2780,12,3722.0,65,16.25,3,0,27
2780,10,9932.0,110,27.5,2,3,42
2780,9,8772.0,153,38.25,0,4,40
2780,13,9495.5,139,34.75,2,3,42
2780,13,8587.5,147,36.75,2,9,37
2780,10,9924.5,157,39.25,2,5,44
2780,13,8505.0,142,35.5,0,6,39
2780,13,8767.5,73,18.25,1,0,32
2780,12,8529.5,119,29.75,1,3,34
2780,15,9028.0,66,16.5,3,0,48
2780,10,8474.5,116,29.0,0,5,36
2780,16,5868.0,54,13.5,2,0,35
2780,6,6.0,70,17.5,3,0,36
2780,19,7247.5,67,16.75,2,0,39
2780,11,8398.5,89,22.25,0,0,32
2780,13,9547.0,128,32.0,0,3,38
2780,18,8109.5,128,32.0,2,10,40
2780,13,9798.0,92,23.0,1,0,42
2780,9,8323.5,148,37.0,0,3,36
2780,17,6015.0,66,16.5,3,0,36
2780,13,9020.0,43,10.75,1,0,36
2780,10,9522.5,137,34.25,1,7,38
2780,14,7939.5,103,25.75,2,1,45
2780,19,6906.5,70,17.5,4,0,36
2780,16,8201.0,55,13.75,3,0,37
2780,9,9869.5,118,29.5,1,1,42
2780,10,8259.0,122,30.5,0,1,37
2780,12,9352.0,106,26.5,0,1,40
2780,11,8536.5,124,31.0,2,7,42
2780,16,9412.0,115,28.75,1,11,46
2780,13,8097.5,99,24.75,2,0,40
2780,17,8153.5,112,28.0,1,5,40
2780,11,8072.0,90,22.5,2,0,32
2780,17,9303.5,115,28.75,2,5,43
2780,14,7277.5,102,25.5,2,3,46
2780,15,5169.5,64,16.0,3,0,32
2780,13,8782.5,62,15.5,0,0,38
2780,14,9620.5,136,34.0,0,11,40
2780,14,8014.5,95,23.75,4,0,49
2780,14,9264.5,129,32.25,1,5,43
2780,13,8236.0,79,19.75,2,0,47
